epochs,loss,val_loss,rmse,val_rmse
32,0.28469178080558777,0.27304571866989136,0.5117994546890259,0.5003515481948853
33,0.28412556648254395,0.2722391188144684,0.5113658905029297,0.49966827034950256
34,0.2835838496685028,0.26936545968055725,0.5109550952911377,0.49690893292427063
35,0.28304392099380493,0.26893845200538635,0.5105458498001099,0.4966009557247162
36,0.2825333774089813,0.2695862948894501,0.5101644992828369,0.4973754584789276
37,0.28204241394996643,0.26904505491256714,0.5098020434379578,0.49695003032684326
38,0.28172463178634644,0.26883381605148315,0.5096054673194885,0.49685677886009216
39,0.28123071789741516,0.2678675651550293,0.509238600730896,0.4960012137889862
40,0.28080809116363525,0.266730934381485,0.5089356303215027,0.49497121572494507
41,0.28025946021080017,0.2686851918697357,0.5085127353668213,0.49705466628074646
42,0.27999094128608704,0.26733753085136414,0.5083556175231934,0.4958118200302124
43,0.2794206738471985,0.26561516523361206,0.5079047679901123,0.49418434500694275
44,0.27911150455474854,0.26599252223968506,0.5077111721038818,0.4946799874305725
45,0.27876541018486023,0.2676510810852051,0.5074822902679443,0.4964626431465149
46,0.2782779335975647,0.2647683024406433,0.507104754447937,0.4936617910861969
47,0.2779408097267151,0.2651791572570801,0.5068790316581726,0.4941854774951935
48,0.2775530219078064,0.2650105953216553,0.5066031217575073,0.4941254258155823
49,0.277110755443573,0.26385143399238586,0.5062681436538696,0.49305522441864014
50,0.27681201696395874,0.2639274299144745,0.5060784220695496,0.49323832988739014
51,0.2764436602592468,0.2644751965999603,0.505817174911499,0.493897020816803
52,0.27607449889183044,0.26298415660858154,0.5055508613586426,0.4924859404563904
53,0.27562233805656433,0.2630225419998169,0.5052053332328796,0.49262478947639465
54,0.2753649353981018,0.2622022032737732,0.5050461888313293,0.4918927550315857
55,0.2749940752983093,0.2623588740825653,0.5047776699066162,0.49215275049209595
56,0.27457839250564575,0.2623678743839264,0.5044589638710022,0.4922609031200409
57,0.2743584215641022,0.2616021931171417,0.5043393969535828,0.4915788471698761
58,0.2738381624221802,0.26113462448120117,0.5039162635803223,0.4911963641643524
59,0.2736358940601349,0.26046445965766907,0.503808856010437,0.49060750007629395
60,0.2732395827770233,0.2633509933948517,0.5035052299499512,0.4936334490776062
61,0.27282971143722534,0.26465246081352234,0.5031888484954834,0.4950413107872009
62,0.2725384533405304,0.25992897152900696,0.5029893517494202,0.49033522605895996
63,0.27217844128608704,0.26095759868621826,0.502714991569519,0.49147486686706543
64,0.27182888984680176,0.259636789560318,0.5024560689926147,0.4902157187461853
65,0.2714194357395172,0.2587518095970154,0.5021289587020874,0.4893982708454132
66,0.27109643816947937,0.2590247094631195,0.5018917918205261,0.48976147174835205
67,0.2707349956035614,0.2580568492412567,0.5016136169433594,0.48885443806648254
68,0.27033013105392456,0.25969746708869934,0.5012909173965454,0.49060961604118347
69,0.2699422538280487,0.257244735956192,0.5009799003601074,0.48818281292915344
70,0.2693404257297516,0.2568797469139099,0.5004541277885437,0.48788440227508545
71,0.2690424621105194,0.2565270960330963,0.5002321004867554,0.48759934306144714
72,0.2686046063899994,0.2564196288585663,0.4998674988746643,0.4875655174255371
73,0.2680776119232178,0.2553500533103943,0.49941205978393555,0.48654302954673767
74,0.2677057981491089,0.2556215822696686,0.49911218881607056,0.48689568042755127
75,0.26733270287513733,0.2545497417449951,0.49881070852279663,0.48586514592170715
76,0.2669564187526703,0.2551148235797882,0.49850502610206604,0.48651644587516785
77,0.2665303647518158,0.25514110922813416,0.4981459081172943,0.48661643266677856
78,0.266215980052948,0.25399249792099,0.4978991150856018,0.48550358414649963
79,0.26571428775787354,0.2533947825431824,0.49746450781822205,0.4849646985530853
80,0.26552537083625793,0.2538589835166931,0.4973456859588623,0.4855096638202667
81,0.2651502788066864,0.2531215250492096,0.4970378875732422,0.48482218384742737
82,0.2648088037967682,0.2516306936740875,0.49676570296287537,0.4833497405052185
83,0.2644299566745758,0.2518790364265442,0.4964498281478882,0.4836793541908264
84,0.2641800045967102,0.2519322633743286,0.49626651406288147,0.4838061034679413
85,0.26403123140335083,0.25271517038345337,0.49618542194366455,0.4846879839897156
86,0.2636582553386688,0.25131216645240784,0.495882123708725,0.48330405354499817
87,0.2633368670940399,0.2509472966194153,0.4956241548061371,0.4830000400543213
88,0.26311108469963074,0.2523326575756073,0.4954661428928375,0.4844996929168701
89,0.2628670632839203,0.2525830566883087,0.4952910542488098,0.4848319888114929
90,0.262623131275177,0.25045493245124817,0.49511319398880005,0.4827018082141876
91,0.262294203042984,0.2509366273880005,0.49484631419181824,0.48326975107192993
92,0.2621810734272003,0.2501208186149597,0.49479940533638,0.48249343037605286
93,0.2618577778339386,0.2493966966867447,0.4945414066314697,0.48181435465812683
94,0.2617138624191284,0.2500491142272949,0.4944629967212677,0.4825604259967804
95,0.2614908218383789,0.24938218295574188,0.4943048357963562,0.4819340705871582
96,0.2613297998905182,0.248907670378685,0.49420687556266785,0.48150718212127686
97,0.26112881302833557,0.2489156723022461,0.49406975507736206,0.48158571124076843
98,0.2609005868434906,0.2492828518152237,0.4939044713973999,0.4820294678211212
99,0.26069024205207825,0.24968664348125458,0.49375343322753906,0.482516884803772
