epochs,loss,val_loss,rmse,val_rmse
67,0.2810564339160919,0.2665853798389435,0.4967820644378662,0.4822752773761749
68,0.28026700019836426,0.26937320828437805,0.4965195059776306,0.4857035279273987
69,0.27969422936439514,0.2883496582508087,0.4964747130870819,0.5053454637527466
70,0.279057115316391,0.265489399433136,0.49632301926612854,0.48272183537483215
71,0.27847129106521606,0.26532498002052307,0.49620959162712097,0.48304134607315063
72,0.27785801887512207,0.2660965919494629,0.4960668981075287,0.48432841897010803
73,0.27728909254074097,0.2654656171798706,0.49595513939857483,0.48413437604904175
74,0.2767585813999176,0.2631768584251404,0.4958595037460327,0.4821980893611908
75,0.27618125081062317,0.26194754242897034,0.49569830298423767,0.4813404977321625
76,0.27569448947906494,0.2620929777622223,0.49561426043510437,0.4818992614746094
77,0.2752438485622406,0.2642185688018799,0.49554452300071716,0.48449257016181946
78,0.27473828196525574,0.2609177529811859,0.49541813135147095,0.4814703166484833
79,0.2743546664714813,0.2594590187072754,0.49540963768959045,0.48033973574638367
80,0.273855060338974,0.2610792815685272,0.4952709674835205,0.48236769437789917
81,0.2734101712703705,0.2618797719478607,0.49516063928604126,0.483565092086792
82,0.272990882396698,0.25813642144203186,0.495066374540329,0.48002058267593384
83,0.27263343334198,0.2591525614261627,0.49503880739212036,0.4813666343688965
84,0.2722375690937042,0.26033809781074524,0.49492645263671875,0.48290687799453735
85,0.2718212604522705,0.25877001881599426,0.4947986900806427,0.4815789461135864
86,0.2716106176376343,0.2588787078857422,0.4948694109916687,0.4819697439670563
87,0.27114707231521606,0.26100319623947144,0.49466753005981445,0.48443350195884705
88,0.270682692527771,0.2617873251438141,0.4944547116756439,0.48552361130714417
89,0.27061209082603455,0.25745296478271484,0.4946412444114685,0.481279581785202
90,0.27021902799606323,0.2575215697288513,0.4944976568222046,0.4816085398197174
91,0.26976561546325684,0.2560104727745056,0.4942646920681,0.48027482628822327
92,0.26961037516593933,0.2565470337867737,0.4943336248397827,0.48103705048561096
93,0.2693789303302765,0.2576715350151062,0.49430614709854126,0.4824417233467102
94,0.26901975274086,0.25569936633110046,0.4941660463809967,0.4805869460105896
95,0.26879873871803284,0.2550196349620819,0.4941275417804718,0.48009273409843445
96,0.26839035749435425,0.260375052690506,0.49391353130340576,0.48581916093826294
97,0.26827239990234375,0.2554568648338318,0.4939713776111603,0.4809272587299347
98,0.26808518171310425,0.2538691461086273,0.4939624071121216,0.47944942116737366
99,0.2678126394748688,0.25413379073143005,0.4938654601573944,0.47990673780441284
